,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,35,34,34,34,34,35,35,30,29,6,19,19,34,4,35,3,22,35,35,35,36,36,23,31,31,35
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,12,8,9,9,7,8,31,8,12,2,21,17,32,10,31,7,22,35,31,21,20,19,20,30,21,23
3,12,8,9,1,1,6,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,3,23
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,35,34,34,34,34,35,35,30,29,28,35,33,34,35,35,35,34,35,35,35,36,36,30,31,31,35
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,35,34,34,34,34,35,35,30,29,7,19,19,34,5,35,4,22,35,35,35,36,36,24,31,31,35
8,35,34,34,34,34,35,35,30,29,12,22,21,34,6,35,5,22,35,35,35,36,36,25,31,31,35
9,12,9,10,10,8,9,29,9,13,3,21,21,30,15,28,11,22,32,29,21,20,19,20,31,21,23
10,14,10,12,12,9,10,28,10,14,4,21,21,27,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1
12,14,11,13,13,10,12,26,11,15,5,19,19,25,2,2,2,2,2,2,3,2,2,2,2,3,3
13,1,8,9,2,2,1,2,2,2,1,3,3,3,1,3,2,2,3,3,2,3,3,3,3,4,22
14,12,8,9,9,7,6,28,8,2,4,5,5,5,4,3,3,3,4,3,2,4,3,3,4,5,21
15,12,8,9,9,7,6,26,8,3,4,5,5,5,4,4,4,4,5,4,3,5,4,4,5,6,19
16,1,10,10,10,9,7,22,2,2,2,7,7,7,1,1,5,5,1,1,1,1,1,1,1,1,1
17,13,9,9,9,8,6,26,1,1,1,6,6,6,5,4,4,4,5,4,3,2,5,5,2,2,2
18,12,8,9,9,7,6,26,8,5,6,6,6,6,7,6,5,5,7,6,5,7,5,6,7,8,19
19,36,35,35,35,35,36,36,34,34,34,34,31,34,9,9,9,9,11,11,36,37,37,31,31,32,19
20,1,1,10,1,8,1,27,10,1,1,6,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1
21,16,34,11,34,34,35,35,30,29,10,21,21,34,9,35,9,22,35,35,35,36,5,26,33,32,35
22,1,8,9,9,7,1,29,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,35,34,34,34,34,35,35,34,34,34,33,34,36,34,35,33,32,35,35,35,36,36,32,35,34,35
25,35,34,34,34,34,35,35,30,29,26,33,31,34,34,35,33,32,35,35,35,36,36,28,31,31,35
26,12,11,13,13,11,12,30,12,16,6,21,21,27,15,25,11,22,26,26,21,20,19,20,31,21,23
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
28,14,11,12,12,12,11,30,12,15,5,21,22,28,16,26,13,23,28,26,21,20,19,20,30,21,1
29,1,1,2,2,2,2,2,2,2,2,2,2,2,2,24,11,22,23,25,21,20,19,20,31,21,23
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,36,35,35,35,35,36,36,31,30,29,36,34,35,36,36,36,35,36,36,36,37,37,31,33,32,36
32,2,11,11,34,34,34,34,30,1,1,1,1,34,7,35,6,22,35,35,2,2,2,2,2,2,2
33,3,11,12,34,33,32,32,3,3,3,8,8,8,2,29,11,22,35,31,6,4,3,3,3,3,3
34,1,1,13,34,32,32,32,30,2,2,2,2,34,1,3,7,18,35,30,3,3,3,3,6,3,6
35,35,34,19,34,33,32,32,30,10,15,21,15,34,8,29,20,27,35,32,21,23,21,22,28,23,25
36,35,34,34,34,34,35,35,35,35,35,33,35,37,34,35,33,32,35,35,35,36,36,33,36,35,35
37,2,1,2,3,30,29,3,3,5,10,17,6,28,4,4,15,22,35,31,21,20,19,20,29,21,23
38,1,2,1,2,2,2,2,2,5,10,18,6,24,4,2,2,2,2,5,5,4,7,7,4,4,4
39,27,38,21,37,37,35,34,32,32,26,31,30,38,22,39,31,31,39,40,39,40,26,30,37,36,40
40,13,15,16,35,33,35,35,33,17,7,19,19,25,16,25,12,23,24,26,22,22,21,22,33,23,24
41,23,36,18,36,36,35,35,31,30,18,28,28,36,17,38,21,30,38,38,38,39,13,29,36,35,38
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
