,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,1,1,1,1,6,7,5,5,1,7,7,5,6,6,6,6,6,6,8,6,7,8,7,7,7,8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,9,8,3,3,6,4,3,8,6,6,4,4,4,4,4,4,4,3,2,2,2,5,5,5,5
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,31,27,27,27,27,27,26,26,28,28,30,30,20,32,31,20,20,20,25,25,25,25,25,25,25,25
6,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2,2,2,2,7,8,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1
9,8,10,9,4,4,7,5,4,9,7,7,5,5,5,5,5,5,14,5,4,4,5,5,5,5,5
10,7,9,8,6,5,6,4,4,8,6,6,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5
11,7,9,8,4,4,6,5,4,8,1,6,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6
12,8,10,9,7,6,7,5,5,9,7,7,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6
13,2,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,8,7,7,7,8,8,8,8
14,3,11,10,3,2,2,2,2,2,8,9,7,8,8,8,3,3,3,9,8,8,8,9,9,9,9
15,4,12,11,4,3,3,3,3,3,9,10,8,8,8,8,3,3,3,9,8,8,8,9,9,9,9
16,27,24,24,24,23,23,22,22,24,23,25,25,24,27,26,24,23,23,24,24,24,24,24,24,24,24
17,13,14,13,11,9,10,8,8,12,12,13,11,11,11,11,24,23,23,10,9,9,9,10,10,10,10
18,5,12,11,5,3,3,3,3,3,9,10,8,9,9,9,4,4,4,10,9,9,9,10,10,10,10
19,30,30,27,33,32,32,31,31,32,25,27,27,26,29,29,26,26,26,29,29,29,29,29,29,29,29
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,14,15,14,12,10,11,9,9,13,11,12,9,10,10,10,5,5,5,8,7,8,9,9,9,2,2
22,1,10,9,1,1,7,5,5,9,7,8,6,6,6,6,6,6,14,6,5,5,6,6,6,6,6
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,6,7,1,1,1,7
24,18,20,20,27,26,26,25,25,27,26,27,27,29,29,29,29,29,29,27,27,27,27,27,27,27,27
25,27,24,24,24,23,23,22,22,24,23,25,25,15,27,26,14,14,14,21,21,21,21,21,21,21,21
26,33,30,33,33,32,32,31,31,32,14,8,6,13,13,15,14,10,18,12,11,11,11,12,12,12,12
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,2,2,2,2,2,2,2,2,3,3,3,6,7,6,7,7,7,16,2,6,6,7,7,7,7,7
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,5,12,12,5,5,11,10,9,12,11,12,11,11,10,11,11,5,6,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,3,1,1,1,3,3,3,3,3,3,1,2,25,27,26,25,24,25,25,25,25,25,25,25,25,25
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,5,5,5,5,5,5,5,5,6,7,7,7,27,27,26,27,26,27,6,6,6,6,6,6,6,6
36,6,6,6,6,6,6,6,6,7,11,11,8,10,27,26,11,7,1,7,7,7,7,7,7,7,7
37,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,1,1,1,1,1,1,1,1
38,2,2,2,2,2,2,3,2,2,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
39,2,2,2,2,6,12,9,9,12,3,3,8,8,9,12,13,12,17,26,26,26,26,26,26,26,26
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,9,1,9,5,5,7,6,5,10,2,7,6,6,6,10,10,10,10,10,9,10,11,11,11,9,9
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
