,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,34,33,33,6,9,6,6,6,6,10,11,11,11,36,35,36,37,35,35,36,35,35,35,35,36,36
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,2,2,2,4,4,2
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,34,33,33,33,33,35,35,35,34,36,34,34,37,36,35,36,37,35,35,36,35,35,35,35,36,36
6,3,3,6,6,9,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,33,33,7,10,7,7,7,7,11,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,4,33,33,8,11,8,8,8,8,12,13,13,2,12,4,3,6,6,3,3,3,3,3,3,3,2
9,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,9,7,9,9,6,6,6,8,8,6
10,2,2,5,5,8,5,5,5,5,9,10,10,10,10,2,2,3,3,3,3,3,3,2,3,3,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,3,3,6,6,9,6,6,6,6,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,2
13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,5,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,7,7,5,7,5,5,5,5,4,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1
17,5,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,9,9,10,7,5,5,5,5,5,5,5,5,5,16,5,5,5,10,10,11,5,5,5,5,5,5
19,12,12,13,13,16,13,13,13,12,17,16,15,15,16,8,10,10,10,10,11,11,11,11,10,10,11
20,1,1,1,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1
21,8,34,34,11,12,10,9,10,10,15,14,14,14,14,7,5,7,7,7,7,7,6,5,5,5,5
22,3,3,3,4,6,6,6,4,3,3,8,3,3,9,3,4,5,3,5,6,4,4,3,9,5,3
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,34,35,35,34,21,19,34,34,33,35,33,33,35,34,33,19,19,20,20,21,33,33,33,33,34,34
25,32,33,33,32,32,34,34,34,33,35,33,33,35,34,33,34,35,33,33,34,33,33,33,33,34,34
26,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,9,7,9,9,6,6,6,8,8,6
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,5,5,5,5,5,5,5,2,2,2,8,8,8,8,2,8,10,8,10,10,7,7,7,2,2,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
31,35,34,34,34,34,36,36,36,35,37,35,35,38,37,36,37,38,36,36,37,36,36,36,36,37,37
32,8,33,33,16,15,14,13,13,12,14,15,15,4,14,6,5,8,8,5,5,5,2,2,5,5,4
33,9,31,32,16,16,15,14,14,13,15,16,16,5,15,7,7,10,10,6,11,6,3,4,7,6,5
34,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,2,2,11,10,10,12,10,11,13
35,13,31,32,17,20,18,17,18,17,20,20,20,21,20,12,12,23,14,11,11,11,11,12,11,12,13
36,18,32,30,20,21,30,34,34,33,35,33,33,35,34,33,31,32,31,31,32,33,33,33,33,34,34
37,12,33,33,16,20,17,17,18,17,20,20,20,21,20,12,12,23,14,11,11,10,10,12,10,11,13
38,1,1,1,16,4,4,3,4,3,3,3,3,3,3,2,1,2,1,2,11,10,10,12,10,11,13
39,39,38,38,36,25,22,38,24,37,25,26,26,27,36,37,33,33,34,34,34,39,39,38,38,39,37
40,5,34,34,9,12,9,9,9,13,13,14,14,10,13,12,11,15,14,13,13,10,10,10,12,12,9
41,19,36,36,22,24,22,21,23,22,37,35,35,37,36,35,39,40,38,38,39,38,38,38,38,39,39
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
