,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,7,7,8,5,6,5,5,4,4,3,3,3,4,4,4,3,4,6,5,8,7,7,6,6,7,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,3,3,3,3,4,4,3,3,2,3,3,3,3,4,3,4,4,6,5,4,5,5,6,5,6
3,3,3,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,3,4
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,9,7,7,7,6,6,6,6,6,4,5,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,8,8,6,5,7,6,6,6,6,6,5,4,5,4,4,4,4,4,3,3,2,3,3,4,3,2
9,2,2,2,2,2,2,2,2,2,2,4,4,5,6,4,3,5,5,3,3,2,2,3,3,3,2
10,3,2,3,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1
12,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3
13,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
14,7,5,5,5,3,4,3,3,2,4,4,4,4,3,2,3,3,3,2,2,3,2,2,3,3,3
15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2
18,3,3,4,4,3,4,4,4,4,4,3,3,3,5,4,3,3,4,4,4,4,3,4,4,4,4
19,13,11,8,9,13,11,10,10,11,11,10,9,9,6,6,7,7,8,8,9,10,9,9,7,8,7
20,1,1,2,1,2,1,2,4,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
21,4,4,3,4,4,5,6,5,6,4,4,4,4,4,5,6,6,5,5,4,5,4,4,4,4,4
22,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,19,18,18,18,18,18,18,18,19,19,19,21,20,20,20,21,21,21,21,21,21,21,21,20,20,21
25,15,16,15,16,15,14,14,14,15,14,16,17,16,15,14,15,15,16,16,16,18,17,14,16,15,19
26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
28,3,3,3,3,4,3,3,3,3,3,2,2,3,3,3,4,3,4,4,3,4,4,4,4,4,1
29,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,4,3,4
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,3
32,2,2,2,2,2,2,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
33,3,2,3,4,3,3,3,2,2,2,2,2,2,2,3,4,4,4,4,4,4,3,3,3,3,3
34,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,4,3,4
35,9,8,8,7,7,9,8,8,8,8,7,7,7,7,8,7,7,7,7,9,9,8,9,7,7,7
36,7,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7
37,2,1,2,3,4,4,3,3,4,3,3,4,4,3,3,4,4,4,5,5,5,6,6,6,6,6
38,1,2,1,2,2,2,2,2,3,4,4,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3
39,12,10,8,9,10,10,9,9,11,11,10,11,11,11,12,11,11,10,13,11,11,12,13,12,12,13
40,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
41,8,8,9,9,8,8,8,9,9,10,10,11,11,10,11,11,11,11,9,9,9,9,9,10,10,10
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
