,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,1,1,1,1,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,4
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,13,12,12,12,13,13,13,13,13,13,13,12,11,12,11,12,13,14,13,13,13,13,13,13,13,14
6,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1
9,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
10,6,7,6,4,3,4,2,2,6,4,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
11,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,2,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
14,3,3,3,3,2,2,2,2,2,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4
15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,12,12,12,12,12,12,12,12,12,12,12,14,13,12,11,13,12,12,8,8,8,8,8,8,8,8
17,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,4,4,3,3,3,3,3,3,3,3
18,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
19,13,14,13,14,14,14,14,14,14,13,13,13,12,11,12,12,12,16,18,18,20,20,21,20,20,20
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2
22,1,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2
24,10,11,12,15,15,15,15,15,15,15,14,15,16,17,17,17,17,16,12,12,12,12,12,11,11,11
25,14,13,13,13,12,12,12,12,11,13,13,12,10,10,9,9,9,9,14,14,14,14,14,14,14,14
26,7,7,9,9,9,8,8,8,8,5,2,2,4,4,5,5,4,4,4,4,4,5,4,4,5,4
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,2,1,1,1,2,2,2,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,4,4,4,4,4,4,4,4,5,6,7,7,7,7,7,7,9,9,6,6,6,6,5,6,5,5
36,4,4,4,4,4,4,4,4,4,5,4,3,4,5,6,3,2,1,3,3,3,3,3,3,3,3
37,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1
38,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39,2,2,2,2,6,6,5,5,6,3,3,4,4,5,6,7,6,6,7,7,7,7,7,7,7,7
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,3,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
