,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,9,8,9,8,7,6,7,7,8,8,7,6,6,6,8,7,8,8,7,7,7,7,7,6,6,6
6,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,4,4,3,3,3,3,3,3,3,2
9,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
10,2,2,3,3,3,3,3,3,4,4,5,5,4,5,2,2,3,3,3,3,3,3,2,3,3,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,4,4,4,4,4,4,4,4,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4,4,4,4,4
19,7,7,7,7,7,7,7,7,6,7,6,5,5,6,5,7,7,7,7,8,9,9,9,8,8,9
20,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1
21,4,4,4,5,3,4,3,4,4,5,4,4,5,5,5,4,5,5,5,5,5,4,4,4,4,4
22,2,2,2,3,5,5,5,3,2,2,3,2,2,4,2,3,2,2,2,3,3,3,2,3,2,2
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,12,12,11,12,11,11,13,13,13,14,14,13,12,12,13,11,10,10,10,10,13,14,14,13,13,14
25,17,17,17,16,17,16,15,16,17,17,17,17,18,18,17,19,20,20,20,20,20,20,20,20,20,20
26,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
31,7,6,6,6,5,5,5,5,5,5,5,6,4,5,6,5,5,5,5,5,5,5,5,5,5,3
32,4,4,5,5,4,5,5,4,4,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3
33,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,3,2,2
34,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
35,5,5,6,6,7,7,6,5,7,8,6,6,7,9,6,6,7,5,6,6,6,5,6,5,4,6
36,7,7,5,6,5,6,6,7,7,7,7,8,8,6,6,6,7,7,7,8,8,8,8,8,9,9
37,6,6,7,7,8,7,8,8,8,8,8,8,9,9,8,9,8,8,8,8,7,7,9,7,8,11
38,1,1,1,4,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,3,4
39,17,16,15,15,14,14,15,16,18,16,15,15,16,18,23,22,21,20,20,20,21,21,21,21,21,21
40,2,2,2,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
41,7,7,7,6,7,6,7,7,8,9,10,10,11,10,12,13,13,12,13,13,13,13,13,13,13,10
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
